index,bidder,value_wei,tx_hash,sent_at_ms,mined_at_ms,latency_ms,block,gas_used,effective_gas_price,cost_wei,status
22,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,1826472e35d9a17123bf45718444e07e41953bc9f23dc32f991d4e81c3ed8225,1778026237027.107,1778026248296.3467,11269.23974609375,10797961,63466,1000019,63467205854,success
23,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,161303e9d32f5159b2f59a4978679ee21c0a57a5cd6395cfced7157bae105557,1778026248465.9656,1778026272423.8381,23957.87255859375,10797963,63466,1000019,63467205854,success
24,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,599629b2619ac4469c0a5ea2d33c8c8cd74b28da2bae69fb66dbe815b49f0515,1778026272582.3936,1778026284274.34,11691.946533203125,10797964,63466,1000019,63467205854,success
25,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,5ddf4f93befddcd08a7bf038016d261a6e0b965208d89542a57f4caafaacf2a4,1778026284442.0703,1778026296744.6772,12302.60693359375,10797965,63466,1000019,63467205854,success
26,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,d00b34d45be365ba18c35eaf6e0e0a37dd528e2afd3802e82873a1e7385ad7d9,1778026296909.6829,1778026308197.3496,11287.666748046875,10797966,63466,1000019,63467205854,success
27,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,ceec0581288b5cd3cc666e9b7ec739ff2fc5561a58052a33aff0730947e9e887,1778026308354.7886,1778026345146.327,36791.538330078125,10797967,63466,1000019,63467205854,success
28,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,0bd0fc0be907bb121618d977ffc3080206c7c82f9d619b31e5d2dd1e6fc2fabc,1778026345300.6306,1778026392804.487,47503.8564453125,10797969,63466,1000018,63467142388,success
29,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,83f9cd3d76fc2c3e587299621effb60248a780bd2d6d11ae816719e12e676610,1778026392970.4067,1778026404377.3843,11406.9775390625,10797970,63466,1000020,63467269320,success
30,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,ae34e348240b8b6d6fd55c611a8a1a1e74ca1faef939779b44042f9bdd7e998a,1778026404536.137,1778026416995.3645,12459.2275390625,10797971,63466,1000020,63467269320,success
31,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,fdf25acb417d43f602ca6a92ecbfb15226cb1fc892d08a31428501bc74c9c2c6,1778026417212.4436,1778026428472.7349,11260.291259765625,10797972,63466,1000020,63467269320,success
32,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,a83ccca48e6f9a9a504397ed49d43655efb6d797ac622353236ff2983bafa5b3,1778026428627.0115,1778026440798.8572,12171.845703125,10797973,63466,1000019,63467205854,success
33,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,ff82ca94f587eb1027889767a4e51e0506d1099e44992959685c0c164ef016f2,1778026440914.0938,1778026452179.2898,11265.196044921875,10797974,63466,1000019,63467205854,success
34,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,19d80aa39fd0dedd74453eb1d45cd0b143fb1f1d6d290995be265638f8098823,1778026452342.0686,1778026464753.58,12411.511474609375,10797975,63466,1000019,63467205854,success
35,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,4aeb0e455b21255d573117071016a83720a0e8945cfe10f3f7ce7d14297e6348,1778026464915.4714,1778026476393.2808,11477.809326171875,10797976,63466,1000019,63467205854,success
36,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,2319e1c1cc666b81c6ed1aba9d9f2d993fa79d62059b98c490a39fdd8c583639,1778026476554.4924,1778026488818.5312,12264.038818359375,10797977,63466,1000019,63467205854,success
