index,bidder,value_wei,tx_hash,sent_at_ms,mined_at_ms,latency_ms,block,gas_used,effective_gas_price,cost_wei,status
22,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,0ca227d81bd85511af14510490f4e2dcdc3662416159de41501620f9cc46d1e9,1778025971744.1125,1778025973880.752,2136.639404296875,55024425,71066,3,213198,success
23,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,e4056c2106b54d7d64d55ecae772a07160573b3237528a90a187f01e7d2d053f,1778025974346.3496,1778025976741.7102,2395.360595703125,55024427,71066,3,213198,success
24,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,e39b5a9991eeec8cc546db2aa6d09a9727f54caf5f4016f577a56c4401c6d867,1778025977218.283,1778025979377.184,2158.901123046875,55024429,71066,3,213198,success
25,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,8e835af408d221f5ca96c095a1462557adccfec21f3f75e90079ba24a7923736,1778025979858.7483,1778025981755.0483,1896.300048828125,55024431,71066,3,213198,success
26,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,27d216fd4c195db9bd497e1aea9db9e8234c6aaf937ab3472f541f776d816fdb,1778025982234.0454,1778025984828.5112,2594.4658203125,55024434,71066,3,213198,success
27,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,c15e8a6224aa552e4507f9131ef1c18ed873aa0ebe1283e1dfcced4325929d9e,1778025985289.1626,1778025987676.053,2386.890380859375,55024437,71066,3,213198,success
28,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,a9b55137f6a434ed6171a5118498b7c290195f4c3f7f0f2cfd1a552f19f0f6e0,1778025988148.8242,1778025990235.3066,2086.482421875,55024439,71066,3,213198,success
29,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,64ae66a8823eb04dacc68009f255808c64dce699e68913558b4fa8b3dc34402d,1778025990689.12,1778025993220.3694,2531.249267578125,55024440,71066,3,213198,success
30,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,5538cd0caeaa48ffdab91af3d2a30a7799c286e23f58f36510f112c6f7e813d3,1778025993677.8535,1778025995788.5493,2110.69580078125,55024442,71066,3,213198,success
31,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,eb1b4ee49bcd971fa24be43948b6e169009471afa798baa3256474d594c6d493,1778025996248.2683,1778025998123.4917,1875.223388671875,55024444,71066,3,213198,success
32,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,9c211f8ae58448dece9cbea2b1a70e56de4edae93c142c2519490e348867f804,1778025998642.5645,1778026000493.192,1850.62744140625,55024446,71066,3,213198,success
33,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,15cdba9f0c147562dc960a63144289348aa99166282d8d70505bd5dbf2ab005f,1778026001031.4739,1778026002906.5984,1875.12451171875,55024448,71066,3,213198,success
34,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,6755a3ec0bb251d12743f476c25828ec311c78306870ad8dcf213458071aac5d,1778026003379.1687,1778026005574.547,2195.37841796875,55024450,71066,3,213198,success
35,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,4f5ad266cf731bf2f808c0cbc3d0badf03e7633aee373d9fe6d9b8d359696b61,1778026006070.4868,1778026007738.691,1668.2041015625,55024452,71066,3,213198,success
36,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,dfdbf7a84a7c53bc441cdb8e5243b5638d5977ed7a978596c88b1ae5f566ca1d,1778026008222.1746,1778026010548.056,2325.88134765625,55024453,71066,3,213198,success
37,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,74c25c7ae4d1c2c3451c48f86c7c4d0be8f0ab3396d0e0277ae1d982c51a09da,1778026011002.3145,1778026013105.1865,2102.8720703125,55024456,71066,3,213198,success
38,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,381f6969c0e531dfa793e8c1f0f92c91e7601e2fd06f6918ba0949581aabcd2f,1778026013571.8652,1778026015874.7314,2302.8662109375,55024458,71066,3,213198,success
39,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,74c0accb77441765071ad347680d1608fb8d601bf2ea43e5b8f8f36a12b21d5d,1778026016335.2476,1778026018166.2917,1831.044189453125,55024460,71066,3,213198,success
40,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,50e8239f828109554dee6cbfb289020cb57d93d719c69bfb4e07f625bfc34718,1778026018657.7595,1778026021083.4956,2425.736083984375,55024462,71066,3,213198,success
41,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,38bff93d34f8cec15c2fe6b7ea160caf46f8daf0be8c48bd7e8184797b538f4f,1778026021652.443,1778026023409.8328,1757.3896484375,55024463,71066,3,213198,success
42,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,8076202eb064418facad8186d484b2f6c0758bd1cef251b55b49fb915dc52c1e,1778026023877.0933,1778026026545.1948,2668.1015625,55024465,71066,3,213198,success
43,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,ddbe9fd3f938c583b99997d89090bcb999601210b3b94f952bfbae5d4da9f021,1778026027036.9412,1778026029697.3772,2660.43603515625,55024467,71066,3,213198,success
44,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,ea59a4377c4ccb3271979ec70903b31c5bf370b641f882dcc6ac034ae4256a0c,1778026030120.883,1778026031779.9104,1659.02734375,55024469,71066,3,213198,success
45,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,da8047c77a382279de9392f9ab60700fef976f60ca4d5b8a28a117c1a0dbd461,1778026032254.2092,1778026033944.222,1690.0126953125,55024470,71066,3,213198,success
